DIGIT1,OPERATION,DIGIT2,DIFFICULTY,ORIGORDER,ORDER
7,*,7,4,85,1
6,/,2,1,12,2
7,*,9,4,91,3
1,*,2,1,24,4
9,/,1,1,21,5
1,*,4,1,27,6
4,*,6,3,61,7
6,*,8,4,84,8
5,*,9,4,82,9
9,/,9,1,23,10
4,*,9,3,76,11
3,*,5,2,47,12
8,/,4,1,19,13
5,*,8,4,78,14
6,*,7,4,80,15
6,/,3,1,13,16
7,*,5,3,72,17
2,*,7,2,45,18
2,*,9,2,54,19
8,*,7,4,88,20
1,*,5,1,28,21
4,*,3,2,41,22
7,/,7,1,16,23
1,*,9,1,37,24
4,/,4,1,8,25
7,*,4,3,66,26
1,/,1,1,1,27
2,/,1,1,2,28
3,/,1,1,4,29
2,*,5,2,39,30
8,*,6,4,83,31
1,*,8,1,35,32
7,*,8,4,89,33
3,*,7,3,58,34
8,/,8,1,20,35
9,*,5,4,81,36
8,*,9,4,94,37
4,*,5,3,56,38
5,*,7,3,73,39
4,*,4,2,49,40
3,/,3,1,5,41
2,*,4,1,34,42
3,*,6,2,53,43
9,*,7,4,90,44
8,/,1,1,17,45
3,*,3,1,36,46
6,*,5,3,68,47
7,*,3,3,57,48
1,*,7,1,32,49
9,*,3,3,64,50
8,*,3,3,59,51
9,*,6,4,86,52
6,*,2,2,40,53
8,*,5,4,77,54
3,*,4,2,42,55
9,/,3,1,22,56
6,*,4,3,60,57
4,*,7,3,67,58
7,/,1,1,15,59
5,*,3,2,46,60
8,*,8,4,92,61
6,*,3,2,52,62
5,*,5,3,63,63
5,*,6,3,69,64
6,/,1,1,11,65
3,*,2,1,29,66
5,*,4,3,55,67
8,*,2,2,48,68
4,/,1,1,6,69
6,*,6,3,75,70
4,*,8,3,71,71
1,*,3,1,25,72
2,/,2,1,3,73
2,*,2,1,26,74
5,*,2,2,38,75
4,*,2,1,33,76
9,*,2,2,51,77
1,*,6,1,31,78
4,/,2,1,7,79
7,*,6,4,79,80
9,*,4,3,74,81
7,*,2,2,44,82
8,/,2,1,18,83
5,/,1,1,9,84
6,*,9,4,87,85
3,*,8,3,62,86
9,*,9,4,95,87
8,*,4,3,70,88
2,*,6,2,43,89
6,/,6,1,14,90
3,*,9,3,65,91
2,*,3,1,30,92
5,/,5,1,10,93
9,*,8,4,93,94
2,*,8,2,50,95
